Pass #: 109; Equity: 50,790.66; Profit / Loss: 794.60; Balance: 50,790.66; Total Trades: 1; Profit Factor: 791.06; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=40, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=150, tpMultiplier=2.0
Pass #: 139; Equity: 50,790.66; Profit / Loss: 794.60; Balance: 50,790.66; Total Trades: 1; Profit Factor: 791.06; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=40, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.5, numberOfBars=150, tpMultiplier=2.0
Pass #: 169; Equity: 50,790.66; Profit / Loss: 794.60; Balance: 50,790.66; Total Trades: 1; Profit Factor: 791.06; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=40, myPeriod=30 Mins, candlesToWait=14, slMultiplier=2.0, numberOfBars=150, tpMultiplier=2.0
Pass #: 127; Equity: 50,782.72; Profit / Loss: 790.60; Balance: 50,782.72; Total Trades: 2; Profit Factor: 783.12; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=20, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.5, numberOfBars=150, tpMultiplier=2.0
Pass #: 128; Equity: 50,782.72; Profit / Loss: 790.60; Balance: 50,782.72; Total Trades: 2; Profit Factor: 783.12; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=20, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.5, numberOfBars=150, tpMultiplier=2.0
Pass #: 129; Equity: 50,782.72; Profit / Loss: 790.60; Balance: 50,782.72; Total Trades: 2; Profit Factor: 783.12; Parameters: multiplier=2.0, zoneShrink=0.3, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=20, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.5, numberOfBars=150, tpMultiplier=2.0
Pass #: 157; Equity: 50,782.72; Profit / Loss: 790.60; Balance: 50,782.72; Total Trades: 2; Profit Factor: 783.12; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=20, myPeriod=30 Mins, candlesToWait=14, slMultiplier=2.0, numberOfBars=150, tpMultiplier=2.0
Pass #: 158; Equity: 50,782.72; Profit / Loss: 790.60; Balance: 50,782.72; Total Trades: 2; Profit Factor: 783.12; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=20, myPeriod=30 Mins, candlesToWait=14, slMultiplier=2.0, numberOfBars=150, tpMultiplier=2.0
Pass #: 159; Equity: 50,782.72; Profit / Loss: 790.60; Balance: 50,782.72; Total Trades: 2; Profit Factor: 783.12; Parameters: multiplier=2.0, zoneShrink=0.3, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=20, myPeriod=30 Mins, candlesToWait=14, slMultiplier=2.0, numberOfBars=150, tpMultiplier=2.0
Pass #: 195; Equity: 50,742.66; Profit / Loss: 746.60; Balance: 50,742.66; Total Trades: 2; Profit Factor: 743.06; Parameters: multiplier=2.0, zoneShrink=0.3, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=30, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=150, tpMultiplier=2.5
Pass #: 225; Equity: 50,742.66; Profit / Loss: 746.60; Balance: 50,742.66; Total Trades: 2; Profit Factor: 743.06; Parameters: multiplier=2.0, zoneShrink=0.3, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=30, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.5, numberOfBars=150, tpMultiplier=2.5
Pass #: 255; Equity: 50,742.66; Profit / Loss: 746.60; Balance: 50,742.66; Total Trades: 2; Profit Factor: 743.06; Parameters: multiplier=2.0, zoneShrink=0.3, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=30, myPeriod=30 Mins, candlesToWait=14, slMultiplier=2.0, numberOfBars=150, tpMultiplier=2.5
Pass #: 25; Equity: 50,741.66; Profit / Loss: 745.60; Balance: 50,741.66; Total Trades: 1; Profit Factor: 742.06; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=50, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=150, tpMultiplier=1.5
