Pass #: 52; Equity: 50,996.87; Profit / Loss: 1,074.20; Balance: 50,996.87; Total Trades: 30; Profit Factor: 2.91; Parameters: multiplier=4, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=90, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.8
Pass #: 112; Equity: 50,996.87; Profit / Loss: 1,074.20; Balance: 50,996.87; Total Trades: 30; Profit Factor: 2.91; Parameters: multiplier=4, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=90, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.8
Pass #: 115; Equity: 50,996.87; Profit / Loss: 1,074.20; Balance: 50,996.87; Total Trades: 30; Profit Factor: 2.91; Parameters: multiplier=4, zoneShrink=0.9, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=90, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.8
Pass #: 146; Equity: 50,780.99; Profit / Loss: 846.20; Balance: 50,780.99; Total Trades: 26; Profit Factor: 2.80; Parameters: multiplier=5, zoneShrink=0.9, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.9
Pass #: 22; Equity: 50,876.86; Profit / Loss: 954.20; Balance: 50,876.86; Total Trades: 30; Profit Factor: 2.75; Parameters: multiplier=4, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.8
Pass #: 82; Equity: 50,876.86; Profit / Loss: 954.20; Balance: 50,876.86; Total Trades: 30; Profit Factor: 2.75; Parameters: multiplier=4, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.8
Pass #: 168; Equity: 50,741.95; Profit / Loss: 799.00; Balance: 50,741.95; Total Trades: 22; Profit Factor: 2.75; Parameters: multiplier=6, zoneShrink=0.6, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=90, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.9
Pass #: 171; Equity: 50,741.95; Profit / Loss: 799.00; Balance: 50,741.95; Total Trades: 22; Profit Factor: 2.75; Parameters: multiplier=6, zoneShrink=0.7, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=90, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.9
Pass #: 174; Equity: 50,741.95; Profit / Loss: 799.00; Balance: 50,741.95; Total Trades: 22; Profit Factor: 2.75; Parameters: multiplier=6, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=90, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.9
Pass #: 228; Equity: 50,741.95; Profit / Loss: 799.00; Balance: 50,741.95; Total Trades: 22; Profit Factor: 2.75; Parameters: multiplier=6, zoneShrink=0.6, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=90, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.9
