Pass #: 8; Equity: 54,131.70; Profit / Loss: 4,207.40; Balance: 54,131.70; Total Trades: 23; Profit Factor: 2.47; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.2, numberOfBars=150, tpMultiplier=2.0
Pass #: 45; Equity: 54,106.55; Profit / Loss: 4,180.60; Balance: 54,106.55; Total Trades: 25; Profit Factor: 2.07; Parameters: multiplier=2.0, zoneShrink=0.3, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.8, numberOfBars=150, tpMultiplier=3.0
Pass #: 89; Equity: 54,105.09; Profit / Loss: 4,129.00; Balance: 54,105.09; Total Trades: 8; Profit Factor: 5.37; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.8, numberOfBars=150, tpMultiplier=4.5
Pass #: 85; Equity: 54,096.52; Profit / Loss: 4,122.60; Balance: 54,001.12; Total Trades: 9; Profit Factor: 3.72; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.5, numberOfBars=150, tpMultiplier=4.5
Pass #: 50; Equity: 53,895.68; Profit / Loss: 3,956.60; Balance: 53,895.68; Total Trades: 16; Profit Factor: 2.31; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.9, numberOfBars=150, tpMultiplier=3.5
Pass #: 86; Equity: 53,787.22; Profit / Loss: 3,820.80; Balance: 53,787.22; Total Trades: 10; Profit Factor: 2.92; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.5, numberOfBars=150, tpMultiplier=4.5
Pass #: 14; Equity: 53,657.91; Profit / Loss: 3,732.00; Balance: 53,657.91; Total Trades: 22; Profit Factor: 2.00; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.8, numberOfBars=150, tpMultiplier=2.0
Pass #: 65; Equity: 53,600.32; Profit / Loss: 3,662.00; Balance: 53,600.32; Total Trades: 16; Profit Factor: 2.12; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.9, numberOfBars=150, tpMultiplier=4.0
Pass #: 47; Equity: 53,554.20; Profit / Loss: 3,650.80; Balance: 53,554.20; Total Trades: 29; Profit Factor: 1.98; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.6, numberOfBars=150, tpMultiplier=3.5
Pass #: 11; Equity: 53,549.71; Profit / Loss: 3,625.40; Balance: 53,549.71; Total Trades: 23; Profit Factor: 2.05; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.5, numberOfBars=150, tpMultiplier=2.0
Pass #: 70; Equity: 53,517.71; Profit / Loss: 3,543.80; Balance: 53,422.31; Total Trades: 9; Profit Factor: 3.33; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.5, numberOfBars=150, tpMultiplier=4.0
Pass #: 17; Equity: 53,505.56; Profit / Loss: 3,607.00; Balance: 53,505.56; Total Trades: 31; Profit Factor: 2.04; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.6, numberOfBars=150, tpMultiplier=2.5
Pass #: 90; Equity: 53,432.54; Profit / Loss: 3,460.40; Balance: 53,432.54; Total Trades: 8; Profit Factor: 3.13; Parameters: multiplier=2.0, zoneShrink=0.3, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.8, numberOfBars=150, tpMultiplier=4.5
Pass #: 34; Equity: 53,269.45; Profit / Loss: 3,350.80; Balance: 53,174.05; Total Trades: 21; Profit Factor: 1.95; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.9, numberOfBars=150, tpMultiplier=3.0
Pass #: 71; Equity: 53,165.23; Profit / Loss: 3,199.60; Balance: 53,165.23; Total Trades: 10; Profit Factor: 2.60; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.5, numberOfBars=150, tpMultiplier=4.0
Pass #: 35; Equity: 53,056.42; Profit / Loss: 3,132.00; Balance: 53,056.42; Total Trades: 20; Profit Factor: 1.97; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.9, numberOfBars=150, tpMultiplier=3.0
Pass #: 73; Equity: 52,890.29; Profit / Loss: 2,912.20; Balance: 52,794.89; Total Trades: 9; Profit Factor: 2.36; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.8, numberOfBars=150, tpMultiplier=4.0
