Pass #: 314; Equity: 54,573.07; Profit / Loss: 4,605.20; Balance: 54,573.07; Total Trades: 11; Profit Factor: 2.77; Parameters: zoneShrink=0.25, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=4 Hours, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=120, myPeriod=4 Hours, candlesToWait=15, slMultiplier=0.7, numberOfBars=300, tpMultiplier=1.2
Pass #: 315; Equity: 54,573.07; Profit / Loss: 4,605.20; Balance: 54,573.07; Total Trades: 11; Profit Factor: 2.77; Parameters: zoneShrink=0.3, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=4 Hours, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=120, myPeriod=4 Hours, candlesToWait=15, slMultiplier=0.7, numberOfBars=300, tpMultiplier=1.2
Pass #: 122; Equity: 52,521.06; Profit / Loss: 2,553.20; Balance: 52,521.06; Total Trades: 10; Profit Factor: 2.72; Parameters: zoneShrink=0.15, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=4 Hours, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=80, myPeriod=4 Hours, candlesToWait=15, slMultiplier=0.6, numberOfBars=300, tpMultiplier=1.0
Pass #: 229; Equity: 54,841.09; Profit / Loss: 4,885.20; Balance: 54,841.09; Total Trades: 14; Profit Factor: 2.71; Parameters: zoneShrink=0.25, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=4 Hours, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=100, myPeriod=4 Hours, candlesToWait=15, slMultiplier=0.7, numberOfBars=300, tpMultiplier=1.1
Pass #: 225; Equity: 53,858.75; Profit / Loss: 3,903.00; Balance: 53,858.75; Total Trades: 14; Profit Factor: 2.69; Parameters: zoneShrink=0.3, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=4 Hours, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=80, myPeriod=4 Hours, candlesToWait=15, slMultiplier=0.7, numberOfBars=300, tpMultiplier=1.1
Pass #: 50; Equity: 53,829.12; Profit / Loss: 3,875.60; Balance: 53,829.12; Total Trades: 16; Profit Factor: 2.58; Parameters: zoneShrink=0.3, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=4 Hours, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=100, myPeriod=4 Hours, candlesToWait=15, slMultiplier=0.6, numberOfBars=300, tpMultiplier=0.9
Pass #: 53; Equity: 54,607.08; Profit / Loss: 4,651.20; Balance: 54,607.08; Total Trades: 14; Profit Factor: 2.58; Parameters: zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=4 Hours, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=120, myPeriod=4 Hours, candlesToWait=15, slMultiplier=0.6, numberOfBars=300, tpMultiplier=0.9
Pass #: 205; Equity: 53,707.93; Profit / Loss: 3,756.20; Balance: 53,707.93; Total Trades: 15; Profit Factor: 2.52; Parameters: zoneShrink=0.3, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=4 Hours, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=80, myPeriod=4 Hours, candlesToWait=15, slMultiplier=0.6, numberOfBars=300, tpMultiplier=1.1
Pass #: 310; Equity: 54,322.12; Profit / Loss: 4,362.40; Balance: 54,322.12; Total Trades: 15; Profit Factor: 2.51; Parameters: zoneShrink=0.3, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=4 Hours, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=100, myPeriod=4 Hours, candlesToWait=15, slMultiplier=0.7, numberOfBars=300, tpMultiplier=1.2
Pass #: 63; Equity: 52,593.40; Profit / Loss: 2,629.60; Balance: 52,593.40; Total Trades: 11; Profit Factor: 2.51; Parameters: zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=4 Hours, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=80, myPeriod=4 Hours, candlesToWait=15, slMultiplier=0.7, numberOfBars=300, tpMultiplier=0.9
